274.927, 130.782, 8.347,  9.857 False
274.649, 130.758, 8.354,  9.890 False
274.372, 130.735, 8.358,  9.923 False
274.095, 130.710, 8.359,  9.956 False
273.817, 130.684, 8.360,  9.989 False
273.540, 130.657, 8.361, 10.022 False
273.263, 130.629, 8.361, 10.055 False
272.986, 130.599, 8.362, 10.088 False
272.709, 130.569, 8.363, 10.121 False
272.432, 130.538, 8.363, 10.154 False
272.155, 130.506, 8.364, 10.187 False
271.878, 130.476, 8.364, 10.220 False
271.601, 130.445, 8.364, 10.253 False
271.324, 130.414, 8.364, 10.286 False
271.047, 130.384, 8.364, 10.319 False
270.770, 130.353, 8.364, 10.352 False
270.493, 130.322, 8.364, 10.385 False
270.216, 130.291, 8.364, 10.418 False
269.939, 130.261, 8.364, 10.451 False
269.661, 130.230, 8.364, 10.484 False
269.384, 130.199, 8.363, 10.517 False
269.107, 130.169, 8.363, 10.550 False
268.830, 130.139, 8.363, 10.583 False
268.553, 130.109, 8.362, 10.616 False
268.276, 130.080, 8.362, 10.649 False
267.999, 130.052, 8.361, 10.682 False
267.721, 130.024, 8.361, 10.715 False
267.444, 129.996, 8.360, 10.748 False
267.167, 129.970, 8.360, 10.781 False
266.889, 129.943, 8.360, 10.814 False
266.612, 129.917, 8.359, 10.847 False
266.334, 129.892, 8.359, 10.880 False
266.057, 129.867, 8.358, 10.913 False
265.779, 129.843, 8.358, 10.946 False
265.502, 129.819, 8.358, 10.979 False
265.224, 129.796, 8.357, 11.012 False
264.946, 129.774, 8.356, 11.045 False
264.669, 129.752, 8.356, 11.078 False
264.391, 129.731, 8.356, 11.111 False
264.113, 129.711, 8.355, 11.144 False
263.835, 129.691, 8.354, 11.177 False
263.557, 129.673, 8.354, 11.210 False
263.280, 129.655, 8.354, 11.243 False
263.002, 129.638, 8.353, 11.276 False
262.724, 129.622, 8.353, 11.309 False
262.446, 129.606, 8.353, 11.342 False
262.168, 129.590, 8.353, 11.375 False
261.890, 129.575, 8.352, 11.408 False
261.612, 129.561, 8.352, 11.441 False
261.334, 129.547, 8.351, 11.474 False
261.056, 129.534, 8.351, 11.507 False
260.777, 129.522, 8.350, 11.540 False
260.499, 129.511, 8.350, 11.573 False
260.221, 129.500, 8.350, 11.606 False
259.943, 129.490, 8.349, 11.639 False
259.665, 129.480, 8.349, 11.672 False
259.387, 129.472, 8.348, 11.705 False
259.109, 129.464, 8.348, 11.738 False
258.831, 129.455, 8.348, 11.771 False
258.552, 129.448, 8.348, 11.804 False
258.274, 129.440, 8.347, 11.837 False
257.996, 129.433, 8.347, 11.870 False
257.718, 129.427, 8.347, 11.903 False
257.440, 129.420, 8.346, 11.936 False
257.162, 129.415, 8.346, 11.969 False
256.883, 129.410, 8.345, 12.002 False
256.605, 129.405, 8.345, 12.035 False
256.327, 129.400, 8.345, 12.068 False
256.049, 129.396, 8.345, 12.101 False
255.771, 129.392, 8.345, 12.134 False
255.493, 129.387, 8.344, 12.167 False
255.215, 129.384, 8.344, 12.200 False
254.937, 129.381, 8.344, 12.233 False
254.658, 129.378, 8.343, 12.266 False
254.380, 129.376, 8.343, 12.299 False
254.102, 129.374, 8.343, 12.332 False
253.824, 129.372, 8.343, 12.365 False
253.546, 129.371, 8.342, 12.398 False
253.268, 129.370, 8.342, 12.431 False
252.990, 129.369, 8.342, 12.464 False
252.712, 129.368, 8.342, 12.497 False
252.434, 129.368, 8.342, 12.530 False
252.156, 129.367, 8.342, 12.563 False
251.878, 129.366, 8.341, 12.596 False
251.600, 129.366, 8.341, 12.629 False
251.322, 129.366, 8.341, 12.662 False
251.044, 129.366, 8.341, 12.695 False
250.766, 129.366, 8.340, 12.728 False
250.488, 129.367, 8.340, 12.761 False
250.210, 129.368, 8.340, 12.794 False
249.932, 129.368, 8.340, 12.827 False
249.654, 129.369, 8.340, 12.860 False
249.376, 129.370, 8.340, 12.893 False
249.098, 129.372, 8.339, 12.926 False
248.820, 129.373, 8.339, 12.959 False
248.542, 129.375, 8.339, 12.992 False
248.264, 129.376, 8.339, 13.025 False
247.986, 129.378, 8.339, 13.058 False
247.708, 129.379, 8.339, 13.091 False
247.430, 129.381, 8.339, 13.124 False
247.152, 129.384, 8.338, 13.157 False
246.874, 129.386, 8.338, 13.190 False
246.596, 129.388, 8.338, 13.223 False
246.318, 129.390, 8.338, 13.256 False
246.040, 129.392, 8.338, 13.289 False
245.762, 129.395, 8.338, 13.322 False
245.484, 129.397, 8.338, 13.355 False
245.206, 129.399, 8.338, 13.388 False
244.928, 129.402, 8.337, 13.421 False
244.651, 129.404, 8.337, 13.454 False
244.373, 129.407, 8.337, 13.487 False
244.095, 129.409, 8.337, 13.520 False
243.817, 129.412, 8.337, 13.553 False
243.539, 129.414, 8.337, 13.586 False
243.261, 129.416, 8.337, 13.619 False
242.983, 129.419, 8.337, 13.652 False
242.705, 129.421, 8.337, 13.685 False
242.427, 129.424, 8.337, 13.718 False
242.150, 129.426, 8.336, 13.751 False
241.872, 129.429, 8.336, 13.784 False
